hid,name,longitude,latitude,distance_km,预定日期,查价数,试单数,订单数
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260621,1297,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260612,2858,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260610,6932,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260603,6848,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260617,3473,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260609,6502,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260616,935,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260501,10590,6,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260618,1616,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260520,6299,1,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260525,1137,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260612,1192,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260619,1620,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260521,6180,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260512,8700,9,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260602,2153,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260421,4853,4,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260529,1937,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260507,8617,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260620,1568,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260522,6712,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260616,11026,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260602,1046,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260529,1134,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260607,1904,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260608,1207,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260502,9606,41,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260605,8283,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260609,2778,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,20260605,1011,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260424,8530,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260530,7267,3,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260605,2317,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260430,11022,2,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260422,5056,5,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260608,7363,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260613,13195,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260528,2200,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260426,11819,10,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260606,2486,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,20260610,3123,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260420,4504,4,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260425,11302,3,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260614,12199,4,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260518,6078,3,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260607,6990,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,20260612,8443,6,\N
